




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
viral budding via host ESCRT complex (GO:0039702)	20	2	.15	+	13.73	1.09E-02	1.00E00
regulation of odontogenesis of dentin-containing tooth (GO:0042487)	10	1	.07	+	13.73	7.67E-02	1.00E00
prostanoid biosynthetic process (GO:0046457)	20	2	.15	+	13.73	1.09E-02	1.00E00
cartilage morphogenesis (GO:0060536)	10	1	.07	+	13.73	7.67E-02	1.00E00
regulation of non-motile cilium assembly (GO:1902855)	10	1	.07	+	13.73	7.67E-02	1.00E00
negative regulation of signal transduction by p53 class mediator (GO:1901797)	31	3	.23	+	13.29	1.88E-03	1.00E00
positive regulation of sodium ion transmembrane transport (GO:1902307)	21	2	.15	+	13.08	1.19E-02	1.00E00
mitochondrial fission (GO:0000266)	21	2	.15	+	13.08	1.19E-02	1.00E00
trachea morphogenesis (GO:0060439)	11	1	.08	+	12.48	8.34E-02	1.00E00
regulation of toll-like receptor 9 signaling pathway (GO:0034163)	11	1	.08	+	12.48	8.34E-02	1.00E00
pinocytosis (GO:0006907)	11	1	.08	+	12.48	8.34E-02	1.00E00
cyclooxygenase pathway (GO:0019371)	11	1	.08	+	12.48	8.34E-02	1.00E00
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	2	.16	+	12.48	1.29E-02	1.00E00
positive regulation of autophagosome assembly (GO:2000786)	11	1	.08	+	12.48	8.34E-02	1.00E00
female meiosis I (GO:0007144)	11	1	.08	+	12.48	8.34E-02	1.00E00
viral release from host cell (GO:0019076)	11	1	.08	+	12.48	8.34E-02	1.00E00
glycogen biosynthetic process (GO:0005978)	22	2	.16	+	12.48	1.29E-02	1.00E00
response to host defenses (GO:0052200)	11	1	.08	+	12.48	8.34E-02	1.00E00
response to defenses of other organism (GO:0052173)	11	1	.08	+	12.48	8.34E-02	1.00E00
endosome to plasma membrane protein transport (GO:0099638)	11	1	.08	+	12.48	8.34E-02	1.00E00
lipid droplet formation (GO:0140042)	11	1	.08	+	12.48	8.34E-02	1.00E00
planar cell polarity pathway involved in neural tube closure (GO:0090179)	11	1	.08	+	12.48	8.34E-02	1.00E00
response to host (GO:0075136)	11	1	.08	+	12.48	8.34E-02	1.00E00
exit from host cell (GO:0035891)	11	1	.08	+	12.48	8.34E-02	1.00E00
exit from host (GO:0035890)	11	1	.08	+	12.48	8.34E-02	1.00E00
glucan biosynthetic process (GO:0009250)	22	2	.16	+	12.48	1.29E-02	1.00E00
heme transport (GO:0015886)	11	1	.08	+	12.48	8.34E-02	1.00E00
glycoside catabolic process (GO:0016139)	11	1	.08	+	12.48	8.34E-02	1.00E00
regulation of PERK-mediated unfolded protein response (GO:1903897)	11	1	.08	+	12.48	8.34E-02	1.00E00
hepatocyte apoptotic process (GO:0097284)	11	1	.08	+	12.48	8.34E-02	1.00E00
epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	11	1	.08	+	12.48	8.34E-02	1.00E00
subpallium development (GO:0021544)	23	2	.17	+	11.94	1.40E-02	1.00E00
amyloid precursor protein metabolic process (GO:0042982)	23	2	.17	+	11.94	1.40E-02	1.00E00
phospholipid efflux (GO:0033700)	12	1	.09	+	11.44	9.01E-02	1.00E00
UTP metabolic process (GO:0046051)	12	1	.09	+	11.44	9.01E-02	1.00E00
I-kappaB phosphorylation (GO:0007252)	12	1	.09	+	11.44	9.01E-02	1.00E00
NADH regeneration (GO:0006735)	24	2	.17	+	11.44	1.51E-02	1.00E00
regulation of ATPase-coupled calcium transmembrane transporter activity (GO:1901894)	12	1	.09	+	11.44	9.01E-02	1.00E00
cellular response to X-ray (GO:0071481)	12	1	.09	+	11.44	9.01E-02	1.00E00
positive regulation of viral release from host cell (GO:1902188)	12	1	.09	+	11.44	9.01E-02	1.00E00
regulation of myoblast proliferation (GO:2000291)	12	1	.09	+	11.44	9.01E-02	1.00E00
phagosome-lysosome fusion (GO:0090385)	12	1	.09	+	11.44	9.01E-02	1.00E00
forebrain morphogenesis (GO:0048853)	12	1	.09	+	11.44	9.01E-02	1.00E00
spindle midzone assembly (GO:0051255)	12	1	.09	+	11.44	9.01E-02	1.00E00
regulation of postsynaptic neurotransmitter receptor internalization (GO:0099149)	12	1	.09	+	11.44	9.01E-02	1.00E00
microtubule severing (GO:0051013)	12	1	.09	+	11.44	9.01E-02	1.00E00
protein localization to endosome (GO:0036010)	12	1	.09	+	11.44	9.01E-02	1.00E00
neuron remodeling (GO:0016322)	12	1	.09	+	11.44	9.01E-02	1.00E00
glucose catabolic process to pyruvate (GO:0061718)	24	2	.17	+	11.44	1.51E-02	1.00E00
canonical glycolysis (GO:0061621)	24	2	.17	+	11.44	1.51E-02	1.00E00
lipid glycosylation (GO:0030259)	12	1	.09	+	11.44	9.01E-02	1.00E00
keratinocyte development (GO:0003334)	12	1	.09	+	11.44	9.01E-02	1.00E00
rostrocaudal neural tube patterning (GO:0021903)	12	1	.09	+	11.44	9.01E-02	1.00E00
regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229)	37	3	.27	+	11.13	3.01E-03	1.00E00
GTP metabolic process (GO:0046039)	25	2	.18	+	10.98	1.62E-02	1.00E00
late endosome to vacuole transport (GO:0045324)	25	2	.18	+	10.98	1.62E-02	1.00E00
cell differentiation involved in embryonic placenta development (GO:0060706)	25	2	.18	+	10.98	1.62E-02	1.00E00
regulation of store-operated calcium entry (GO:2001256)	13	1	.09	+	10.56	9.66E-02	1.00E00
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	13	1	.09	+	10.56	9.66E-02	1.00E00
prepulse inhibition (GO:0060134)	13	1	.09	+	10.56	9.66E-02	1.00E00
positive regulation of phagocytosis, engulfment (GO:0060100)	13	1	.09	+	10.56	9.66E-02	1.00E00
virion assembly (GO:0019068)	39	3	.28	+	10.56	3.46E-03	1.00E00
convergent extension (GO:0060026)	13	1	.09	+	10.56	9.66E-02	1.00E00
negative regulation of cell aging (GO:0090344)	26	2	.19	+	10.56	1.74E-02	1.00E00
negative regulation of astrocyte differentiation (GO:0048712)	13	1	.09	+	10.56	9.66E-02	1.00E00
regulation of establishment of planar polarity involved in neural tube closure (GO:0090178)	13	1	.09	+	10.56	9.66E-02	1.00E00
positive regulation of synaptic transmission, GABAergic (GO:0032230)	13	1	.09	+	10.56	9.66E-02	1.00E00
pre-mRNA cleavage required for polyadenylation (GO:0098789)	13	1	.09	+	10.56	9.66E-02	1.00E00
positive regulation of vacuole organization (GO:0044090)	13	1	.09	+	10.56	9.66E-02	1.00E00
spliceosomal tri-snRNP complex assembly (GO:0000244)	13	1	.09	+	10.56	9.66E-02	1.00E00
positive regulation of membrane invagination (GO:1905155)	13	1	.09	+	10.56	9.66E-02	1.00E00
positive regulation of ubiquitin protein ligase activity (GO:1904668)	13	1	.09	+	10.56	9.66E-02	1.00E00
motor behavior (GO:0061744)	13	1	.09	+	10.56	9.66E-02	1.00E00
glycolytic process through glucose-6-phosphate (GO:0061620)	26	2	.19	+	10.56	1.74E-02	1.00E00
glycolytic process through fructose-6-phosphate (GO:0061615)	26	2	.19	+	10.56	1.74E-02	1.00E00
respiratory chain complex IV assembly (GO:0008535)	26	2	.19	+	10.56	1.74E-02	1.00E00
positive regulation of protein kinase A signaling (GO:0010739)	13	1	.09	+	10.56	9.66E-02	1.00E00
glycosphingolipid catabolic process (GO:0046479)	13	1	.09	+	10.56	9.66E-02	1.00E00
trophoblast giant cell differentiation (GO:0060707)	13	1	.09	+	10.56	9.66E-02	1.00E00
high-density lipoprotein particle assembly (GO:0034380)	13	1	.09	+	10.56	9.66E-02	1.00E00
intestinal epithelial cell development (GO:0060576)	13	1	.09	+	10.56	9.66E-02	1.00E00
positive regulation of DNA-templated transcription, elongation (GO:0032786)	27	2	.20	+	10.17	1.86E-02	1.00E00
positive regulation of gluconeogenesis (GO:0045722)	14	1	.10	+	9.81	1.03E-01	1.00E00
toll-like receptor 9 signaling pathway (GO:0034162)	14	1	.10	+	9.81	1.03E-01	1.00E00
chronic inflammatory response (GO:0002544)	14	1	.10	+	9.81	1.03E-01	1.00E00
tricarboxylic acid metabolic process (GO:0072350)	14	1	.10	+	9.81	1.03E-01	1.00E00
negative regulation of activated T cell proliferation (GO:0046007)	14	1	.10	+	9.81	1.03E-01	1.00E00
corpus callosum development (GO:0022038)	14	1	.10	+	9.81	1.03E-01	1.00E00
positive regulation of receptor recycling (GO:0001921)	14	1	.10	+	9.81	1.03E-01	1.00E00
positive regulation of phospholipid transport (GO:2001140)	14	1	.10	+	9.81	1.03E-01	1.00E00
otic vesicle development (GO:0071599)	14	1	.10	+	9.81	1.03E-01	1.00E00
G protein-coupled receptor internalization (GO:0002031)	14	1	.10	+	9.81	1.03E-01	1.00E00
CTP biosynthetic process (GO:0006241)	14	1	.10	+	9.81	1.03E-01	1.00E00
glucose catabolic process (GO:0006007)	28	2	.20	+	9.81	1.98E-02	1.00E00
regulation of synapse maturation (GO:0090128)	14	1	.10	+	9.81	1.03E-01	1.00E00
mRNA cleavage involved in mRNA processing (GO:0098787)	14	1	.10	+	9.81	1.03E-01	1.00E00
positive regulation of renal sodium excretion (GO:0035815)	14	1	.10	+	9.81	1.03E-01	1.00E00
positive regulation of urine volume (GO:0035810)	14	1	.10	+	9.81	1.03E-01	1.00E00
regulation of amyloid precursor protein biosynthetic process (GO:0042984)	14	1	.10	+	9.81	1.03E-01	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	14	1	.10	+	9.81	1.03E-01	1.00E00
ribosomal large subunit assembly (GO:0000027)	28	2	.20	+	9.81	1.98E-02	1.00E00
pteridine-containing compound biosynthetic process (GO:0042559)	14	1	.10	+	9.81	1.03E-01	1.00E00
negative regulation of substrate adhesion-dependent cell spreading (GO:1900025)	14	1	.10	+	9.81	1.03E-01	1.00E00
iron ion transmembrane transport (GO:0034755)	14	1	.10	+	9.81	1.03E-01	1.00E00
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	14	1	.10	+	9.81	1.03E-01	1.00E00
negative regulation of glycoprotein biosynthetic process (GO:0010561)	14	1	.10	+	9.81	1.03E-01	1.00E00
adenohypophysis development (GO:0021984)	14	1	.10	+	9.81	1.03E-01	1.00E00
telomere maintenance via telomerase (GO:0007004)	29	2	.21	+	9.47	2.11E-02	1.00E00
protein K11-linked ubiquitination (GO:0070979)	29	2	.21	+	9.47	2.11E-02	1.00E00
glycolipid catabolic process (GO:0019377)	15	1	.11	+	9.15	1.10E-01	1.00E00
synaptic transmission, dopaminergic (GO:0001963)	15	1	.11	+	9.15	1.10E-01	1.00E00
regulation of phospholipid transport (GO:2001138)	15	1	.11	+	9.15	1.10E-01	1.00E00
glycosylceramide metabolic process (GO:0006677)	15	1	.11	+	9.15	1.10E-01	1.00E00
organ induction (GO:0001759)	15	1	.11	+	9.15	1.10E-01	1.00E00
regulation of phagocytosis, engulfment (GO:0060099)	15	1	.11	+	9.15	1.10E-01	1.00E00
glutamate metabolic process (GO:0006536)	30	2	.22	+	9.15	2.24E-02	1.00E00
positive regulation of granulocyte macrophage colony-stimulating factor production (GO:0032725)	15	1	.11	+	9.15	1.10E-01	1.00E00
V(D)J recombination (GO:0033151)	15	1	.11	+	9.15	1.10E-01	1.00E00
iron coordination entity transport (GO:1901678)	15	1	.11	+	9.15	1.10E-01	1.00E00
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	15	1	.11	+	9.15	1.10E-01	1.00E00
membrane fission (GO:0090148)	15	1	.11	+	9.15	1.10E-01	1.00E00
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	15	1	.11	+	9.15	1.10E-01	1.00E00
protein homotrimerization (GO:0070207)	15	1	.11	+	9.15	1.10E-01	1.00E00
multivesicular body assembly (GO:0036258)	30	2	.22	+	9.15	2.24E-02	1.00E00
pyrimidine ribonucleoside triphosphate biosynthetic process (GO:0009209)	15	1	.11	+	9.15	1.10E-01	1.00E00
fatty acid homeostasis (GO:0055089)	15	1	.11	+	9.15	1.10E-01	1.00E00
regulation of neuron projection arborization (GO:0150011)	15	1	.11	+	9.15	1.10E-01	1.00E00
negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799)	15	1	.11	+	9.15	1.10E-01	1.00E00
regulation of plasma membrane organization (GO:1903729)	15	1	.11	+	9.15	1.10E-01	1.00E00
positive regulation of exosomal secretion (GO:1903543)	15	1	.11	+	9.15	1.10E-01	1.00E00
regulation of skeletal muscle contraction (GO:0014819)	15	1	.11	+	9.15	1.10E-01	1.00E00
apoptotic process involved in morphogenesis (GO:0060561)	15	1	.11	+	9.15	1.10E-01	1.00E00
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	46	3	.34	+	8.95	5.35E-03	1.00E00
endosome transport via multivesicular body sorting pathway (GO:0032509)	31	2	.23	+	8.86	2.37E-02	1.00E00
negative regulation of plasma membrane bounded cell projection assembly (GO:0120033)	31	2	.23	+	8.86	2.37E-02	1.00E00
multivesicular body organization (GO:0036257)	31	2	.23	+	8.86	2.37E-02	1.00E00
positive chemotaxis (GO:0050918)	47	3	.34	+	8.76	5.66E-03	1.00E00
purine nucleoside triphosphate biosynthetic process (GO:0009145)	47	3	.34	+	8.76	5.66E-03	1.00E00
response to UV-C (GO:0010225)	16	1	.12	+	8.58	1.16E-01	1.00E00
branching involved in salivary gland morphogenesis (GO:0060445)	16	1	.12	+	8.58	1.16E-01	1.00E00
GMP metabolic process (GO:0046037)	16	1	.12	+	8.58	1.16E-01	1.00E00
CTP metabolic process (GO:0046036)	16	1	.12	+	8.58	1.16E-01	1.00E00
cellular copper ion homeostasis (GO:0006878)	16	1	.12	+	8.58	1.16E-01	1.00E00
cellular response to nitric oxide (GO:0071732)	16	1	.12	+	8.58	1.16E-01	1.00E00
C21-steroid hormone biosynthetic process (GO:0006700)	16	1	.12	+	8.58	1.16E-01	1.00E00
phagolysosome assembly (GO:0001845)	16	1	.12	+	8.58	1.16E-01	1.00E00
positive regulation of cellular respiration (GO:1901857)	16	1	.12	+	8.58	1.16E-01	1.00E00
regulation of norepinephrine secretion (GO:0014061)	16	1	.12	+	8.58	1.16E-01	1.00E00
regulation of glutamate secretion (GO:0014048)	16	1	.12	+	8.58	1.16E-01	1.00E00
epithelial cell maturation (GO:0002070)	16	1	.12	+	8.58	1.16E-01	1.00E00
positive regulation of nitric-oxide synthase biosynthetic process (GO:0051770)	16	1	.12	+	8.58	1.16E-01	1.00E00
neurotransmitter receptor internalization (GO:0099590)	16	1	.12	+	8.58	1.16E-01	1.00E00
UDP-N-acetylglucosamine metabolic process (GO:0006047)	16	1	.12	+	8.58	1.16E-01	1.00E00
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	16	1	.12	+	8.58	1.16E-01	1.00E00
regulation of membrane invagination (GO:1905153)	16	1	.12	+	8.58	1.16E-01	1.00E00
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	16	1	.12	+	8.58	1.16E-01	1.00E00
cell migration involved in gastrulation (GO:0042074)	16	1	.12	+	8.58	1.16E-01	1.00E00
striatum development (GO:0021756)	17	1	.12	+	8.08	1.23E-01	1.00E00
regulation of integrin activation (GO:0033623)	17	1	.12	+	8.08	1.23E-01	1.00E00
segment specification (GO:0007379)	17	1	.12	+	8.08	1.23E-01	1.00E00
negative regulation of glycoprotein metabolic process (GO:1903019)	17	1	.12	+	8.08	1.23E-01	1.00E00
definitive hemopoiesis (GO:0060216)	17	1	.12	+	8.08	1.23E-01	1.00E00
ureter development (GO:0072189)	17	1	.12	+	8.08	1.23E-01	1.00E00
auditory receptor cell stereocilium organization (GO:0060088)	17	1	.12	+	8.08	1.23E-01	1.00E00
anatomical structure regression (GO:0060033)	17	1	.12	+	8.08	1.23E-01	1.00E00
regulation of granulocyte macrophage colony-stimulating factor production (GO:0032645)	17	1	.12	+	8.08	1.23E-01	1.00E00
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	17	1	.12	+	8.08	1.23E-01	1.00E00
post-embryonic animal organ development (GO:0048569)	17	1	.12	+	8.08	1.23E-01	1.00E00
dicarboxylic acid catabolic process (GO:0043649)	17	1	.12	+	8.08	1.23E-01	1.00E00
post-anal tail morphogenesis (GO:0036342)	17	1	.12	+	8.08	1.23E-01	1.00E00
midbody abscission (GO:0061952)	17	1	.12	+	8.08	1.23E-01	1.00E00
positive regulation of circadian rhythm (GO:0042753)	17	1	.12	+	8.08	1.23E-01	1.00E00
regulation of odontogenesis (GO:0042481)	17	1	.12	+	8.08	1.23E-01	1.00E00
regulation of exosomal secretion (GO:1903541)	17	1	.12	+	8.08	1.23E-01	1.00E00
establishment of protein localization to postsynaptic membrane (GO:1903540)	17	1	.12	+	8.08	1.23E-01	1.00E00
mammary gland epithelial cell differentiation (GO:0060644)	17	1	.12	+	8.08	1.23E-01	1.00E00
regulation of Golgi organization (GO:1903358)	17	1	.12	+	8.08	1.23E-01	1.00E00
ribonucleoside triphosphate biosynthetic process (GO:0009201)	52	3	.38	+	7.92	7.39E-03	1.00E00
telomere maintenance via semi-conservative replication (GO:0032201)	35	2	.25	+	7.85	2.93E-02	1.00E00
positive regulation of sodium ion transport (GO:0010765)	35	2	.25	+	7.85	2.93E-02	1.00E00
positive regulation of neurotransmitter secretion (GO:0001956)	18	1	.13	+	7.63	1.29E-01	1.00E00
negative regulation of amyloid-beta formation (GO:1902430)	18	1	.13	+	7.63	1.29E-01	1.00E00
regulation of circadian sleep/wake cycle, sleep (GO:0045187)	18	1	.13	+	7.63	1.29E-01	1.00E00
cellular response to reactive nitrogen species (GO:1902170)	18	1	.13	+	7.63	1.29E-01	1.00E00
nucleosome disassembly (GO:0006337)	18	1	.13	+	7.63	1.29E-01	1.00E00
regulation of mitotic spindle assembly (GO:1901673)	18	1	.13	+	7.63	1.29E-01	1.00E00
positive regulation of protein localization to cell surface (GO:2000010)	18	1	.13	+	7.63	1.29E-01	1.00E00
neurotransmitter receptor transport to plasma membrane (GO:0098877)	18	1	.13	+	7.63	1.29E-01	1.00E00
protein trimerization (GO:0070206)	18	1	.13	+	7.63	1.29E-01	1.00E00
chromatin disassembly (GO:0031498)	18	1	.13	+	7.63	1.29E-01	1.00E00
cytochrome complex assembly (GO:0017004)	36	2	.26	+	7.63	3.08E-02	1.00E00
astrocyte activation (GO:0048143)	18	1	.13	+	7.63	1.29E-01	1.00E00
regulation of amyloid-beta clearance (GO:1900221)	18	1	.13	+	7.63	1.29E-01	1.00E00
pyrimidine ribonucleoside triphosphate metabolic process (GO:0009208)	18	1	.13	+	7.63	1.29E-01	1.00E00
protein localization to cell-cell junction (GO:0150105)	18	1	.13	+	7.63	1.29E-01	1.00E00
telomere maintenance via telomere lengthening (GO:0010833)	36	2	.26	+	7.63	3.08E-02	1.00E00
neuroepithelial cell differentiation (GO:0060563)	18	1	.13	+	7.63	1.29E-01	1.00E00
negative regulation of leukocyte chemotaxis (GO:0002689)	18	1	.13	+	7.63	1.29E-01	1.00E00
multivesicular body sorting pathway (GO:0071985)	37	2	.27	+	7.42	3.23E-02	1.00E00
NADH metabolic process (GO:0006734)	37	2	.27	+	7.42	3.23E-02	1.00E00
trachea development (GO:0060438)	19	1	.14	+	7.23	1.35E-01	1.00E00
regulation of mammary gland epithelial cell proliferation (GO:0033599)	19	1	.14	+	7.23	1.35E-01	1.00E00
prostaglandin metabolic process (GO:0006693)	38	2	.28	+	7.23	3.39E-02	1.00E00
prostanoid metabolic process (GO:0006692)	38	2	.28	+	7.23	3.39E-02	1.00E00
unsaturated fatty acid biosynthetic process (GO:0006636)	38	2	.28	+	7.23	3.39E-02	1.00E00
negative regulation of interleukin-8 production (GO:0032717)	19	1	.14	+	7.23	1.35E-01	1.00E00
auditory receptor cell morphogenesis (GO:0002093)	19	1	.14	+	7.23	1.35E-01	1.00E00
desensitization of G protein-coupled receptor signaling pathway (GO:0002029)	19	1	.14	+	7.23	1.35E-01	1.00E00
regulation of clathrin-dependent endocytosis (GO:2000369)	19	1	.14	+	7.23	1.35E-01	1.00E00
retinoic acid receptor signaling pathway (GO:0048384)	19	1	.14	+	7.23	1.35E-01	1.00E00
mitochondrial ATP synthesis coupled proton transport (GO:0042776)	19	1	.14	+	7.23	1.35E-01	1.00E00
ribosomal small subunit assembly (GO:0000028)	19	1	.14	+	7.23	1.35E-01	1.00E00
copper ion homeostasis (GO:0055070)	19	1	.14	+	7.23	1.35E-01	1.00E00
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	19	1	.14	+	7.23	1.35E-01	1.00E00
response to caffeine (GO:0031000)	19	1	.14	+	7.23	1.35E-01	1.00E00
detoxification of inorganic compound (GO:0061687)	19	1	.14	+	7.23	1.35E-01	1.00E00
middle ear morphogenesis (GO:0042474)	19	1	.14	+	7.23	1.35E-01	1.00E00
negative regulation of gene silencing by miRNA (GO:0060965)	19	1	.14	+	7.23	1.35E-01	1.00E00
folic acid metabolic process (GO:0046655)	19	1	.14	+	7.23	1.35E-01	1.00E00
mammary gland lobule development (GO:0061377)	19	1	.14	+	7.23	1.35E-01	1.00E00
mammary gland alveolus development (GO:0060749)	19	1	.14	+	7.23	1.35E-01	1.00E00
vesicle transport along actin filament (GO:0030050)	19	1	.14	+	7.23	1.35E-01	1.00E00
negative adaptation of signaling pathway (GO:0022401)	19	1	.14	+	7.23	1.35E-01	1.00E00
sex determination (GO:0007530)	19	1	.14	+	7.23	1.35E-01	1.00E00
regulation of substrate adhesion-dependent cell spreading (GO:1900024)	58	3	.42	+	7.10	9.82E-03	1.00E00
regulation of striated muscle tissue development (GO:0016202)	39	2	.28	+	7.04	3.54E-02	1.00E00
nucleoside diphosphate phosphorylation (GO:0006165)	59	3	.43	+	6.98	1.03E-02	1.00E00
negative regulation of cellular senescence (GO:2000773)	20	1	.15	+	6.87	1.41E-01	1.00E00
response to nitric oxide (GO:0071731)	20	1	.15	+	6.87	1.41E-01	1.00E00
negative regulation of adenylate cyclase activity (GO:0007194)	20	1	.15	+	6.87	1.41E-01	1.00E00
protein-DNA complex disassembly (GO:0032986)	20	1	.15	+	6.87	1.41E-01	1.00E00
negative regulation of posttranscriptional gene silencing (GO:0060149)	20	1	.15	+	6.87	1.41E-01	1.00E00
membrane protein ectodomain proteolysis (GO:0006509)	20	1	.15	+	6.87	1.41E-01	1.00E00
positive regulation of amino acid transport (GO:0051957)	20	1	.15	+	6.87	1.41E-01	1.00E00
negative regulation of organelle assembly (GO:1902116)	40	2	.29	+	6.87	3.70E-02	1.00E00
